1 	KYRGIOS, Nick 	0 	 AUS 	27 Apr 1995 	15 	1286.25
	2 	QUINZI, Gianluigi 	0 	 ITA 	01 Feb 1996 	17 	990.00
	3 	MILOJEVIC, Nikola 	0 	 SRB 	19 Jun 1995 	24 	972.50
	4 	CORIC, Borna 	0 	 CRO 	14 Nov 1996 	30 	832.50
	5 	DJERE, Laslo 	0 	 SRB 	02 Jun 1995 	26 	790.00
	6 	BALDI, Filippo 	0 	 ITA 	10 Jan 1996 	23 	750.00
	7 	MONTGOMERY, Wayne 	0 	 RSA 	06 Jul 1995 	25 	712.50
	8 	GEENS, Clement 	0 	 BEL 	11 Mar 1996 	22 	686.25
	9 	TATLOT, Johan Sebastien 	0 	 FRA 	26 Mar 1996 	19 	680.00
	10 	NORRIE, Cameron 	0 	 GBR 	23 Aug 1995 	38 	651.25
	11 	SILVA, Frederico Ferreira 	0 	 POR 	18 Mar 1995 	18 	643.75
	12 	YMER, Elias 	0 	 SWE 	10 Apr 1996 	22 	606.25
	13 	GARIN, Christian 	0 	 CHI 	30 May 1996 	24 	595.00
	14 	PANTA, Jorge Brian 	0 	 PER 	22 Jul 1995 	30 	575.00
	15 	CHUNG, Hyeon 	0 	 KOR 	19 May 1996 	20 	572.50
	16 	KWIATKOWSKI, Thai-Son 	0 	 USA 	13 Feb 1995 	31 	558.75
	17 	NISHIOKA, Yoshihito 	0 	 JPN 	27 Sep 1995 	22 	556.25
	18 	HONG, Seong Chan 	0 	 KOR 	30 Jun 1997 	33 	553.75
	19 	KOZLOV, Stefan 	0 	 USA 	01 Feb 1998 	17 	550.00
	20 	JARRY, Nicolas 	0 	 CHI 	11 Oct 1995 	35 	546.25
	21 	ZORMANN DA SILVA, Marcelo 	0 	 BRA 	10 Jun 1996 	24 	533.75
	22 	NUNEZ, Guillermo 	0 	 CHI 	22 Jul 1995 	35 	531.25
	23 	RUBIN, Noah 	+1 	 USA 	21 Feb 1996 	16 	525.00
	24 	MARUSCAK, Matej 	+1 	 SVK 	17 Jan 1995 	26 	520.00
	25 	MIOCIC, Franko 	-2 	 CRO 	02 May 1995 	23 	518.75
	26 	HAMOU, Maxime 	0 	 FRA 	08 Jun 1995 	22 	512.50
	27 	MIEDLER, Lucas 	+20 	 AUT 	21 Jun 1996 	32 	510.00
	28 	ZVEREV, Alexander 	+15 	 GER 	20 Apr 1997 	34 	506.25
	29 	NAKAGAWA, Naoki 	-2 	 JPN 	19 Nov 1996 	32 	502.50
	30 	KIM, Young Seok 	-2 	 KOR 	12 May 1995 	38 	501.25
	31 	MARTERER, Maximilian 	-2 	 GER 	15 Jun 1995 	22 	497.50
	32 	BOURCHIER, Harry 	-2 	 AUS 	24 Jan 1996 	25 	495.00
	33 	CACHIN, Pedro 	-2 	 ARG 	12 Apr 1995 	22 	493.75
	34 	JASIKA, Omar 	-2 	 AUS 	18 May 1997 	24 	490.00
	35 	OSAMA, Mazen 	-2 	 EGY 	09 Feb 1995 	20 	488.75
	36 	SAFIULLIN, Roman 	+5 	 RUS 	07 Aug 1997 	25 	483.75
	37 	BONZI, Benjamin 	-3 	 FRA 	09 Jun 1996 	29 	481.25
	38 	CORINTELI, Luca 	-3 	 USA 	09 Jul 1995 	30 	478.75
	39 	LEE, Duck Hee 	-3 	 KOR 	29 May 1998 	26 	477.50
	40 	PAPA, Spencer 	-3 	 USA 	22 Oct 1995 	26 	476.25
	41 	DI FEO, Hugo 	-3 	 CAN 	18 Apr 1995 	24 	473.75
	42 	MAJCHRZAK, Kamil 	-3 	 POL 	13 Jan 1996 	31 	473.75
	43 	MEDVEDEV, Daniil 	+21 	 RUS 	11 Feb 1996 	26 	472.50
	44 	KHACHANOV, Karen 	-4 	 RUS 	21 May 1996 	28 	470.00
	45 	HALYS, Quentin 	-3 	 FRA 	26 Oct 1996 	20 	467.50
	46 	MOUSLEY, Bradley 	-2 	 AUS 	03 Jan 1996 	27 	447.50
	47 	ZHENG, Weiqiang 	-2 	 CHN 	22 Jun 1996 	33 	442.50
	48 	BAMBRIDGE, Luke 	-2 	 GBR 	21 Jan 1995 	25 	440.00
	49 	REDLICKI, Martin 	-1 	 USA 	24 Aug 1995 	29 	437.50
	50 	RUBLEV, Andrey 	-1 	 RUS 	20 Oct 1997 	34 	436.25
	51 	MATOS, Rafael 	-1 	 BRA 	06 Jan 1996 	34 	431.25
	52 	DONATI, Matteo 	-1 	 ITA 	28 Feb 1995 	15 	431.25
